编号	纳税人识别号,纳税人名称,信用级别,评价年度,税务机关
1,91230800MA18XN8J5K,佳木斯凯华凯立汽车销售服务有限公司,2018,佳木斯市向阳区税务局税源管理一股
1,91230800X06660296A,黑龙江省机场管理集团有限公司佳木斯分公司,2018,佳木斯市东风区税务局税源管理二股
1,912308031297498726,佳木斯市新华书店有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230803739693757W,佳木斯市瑞得食品酿造厂,2018,佳木斯市向阳区税务局税源管理二股
1,912308047026559336,佳木斯市平安消防设备厂,2018,佳木斯市前进区税务局税源管理一股
1,912308051297557702,佳木斯市松辽二船厂,2018,佳木斯市东风区税务局税源管理二股
1,91230822333316601D,桦南县益农农机销售有限公司,2018,国家税务总局桦南县税务局桦南税务分局
1,91230822592718728G,桦南兴宇建材有限责任公司,2018,国家税务总局桦南县税务局第二税务分局
1,912308227026620412,中国农业发展银行桦南县支行,2018,国家税务总局桦南县税务局第二税务分局
1,91230822702663327T,桦南县林产品经销处,2018,国家税务总局桦南县税务局桦南税务分局
1,912308007627420276,财达证券股份有限公司佳木斯长安东路证券营业部,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,9123080076920239X2,大商佳木斯百货大楼有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800772609174T,青岛润泰事业有限公司佳木斯分公司,2018,佳木斯市向阳区税务局税源管理一股
1,912308007726336844,中国银行股份有限公司佳木斯分行,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,9123080078191711XY,阳光财产保险股份有限公司佳木斯中心支公司,2018,国家税务总局佳木斯市向阳区税务局桥南税务分局
1,91230800786021507L,益海（佳木斯）生物质能发电有限公司,2018,国家税务总局佳木斯市东风区税务局高新技术产业开发区税务分局
1,912308007905493636,佳木斯苏宁易购有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800795020661J,桦南龙源风力发电有限公司,2018,国家税务总局桦南县税务局第二税务分局
