纳税人识别号,纳税人名称,评价年度,税务机关
91360200787252585L,景德镇市景程汽车部件有限责任公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206550875725,景德镇市伟雁水暖器材物资有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206556023435,江西昌兴航空装备股份有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913602006809005972,景德镇大鹏水务有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200677964653U,景德镇市隆政食品有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200677962789Q,新昌南炼焦化工有限责任公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200MA35FL1W41,景德镇器成堂陶瓷有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200158810329D,江西跃华药业有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206683496382,景德镇诚德轩瓷业有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206680922403,景德镇北汽昌河进出口有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206683499276,景德镇市玉柏瓷业有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360206690985117X,江西联晟电子股份有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913602006937343563,景德镇市国信节能科技股份有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200698461879K,景德镇昌航航空高新技术有限责任公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200664779256G,景德镇华润燃气有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200667464516C,江西景源电器有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206778811023,江西昌河阿古斯特直升机有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913602007758663875,景德镇深燃天然气有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206314681064,江西省从众机械有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200568692599N,江西黑猫进出口有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913602000588208371,景德镇昌河航空设备技术有限责任公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206573645164,江西美菱电器有限责任公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206581611212,景德镇百特威尔新材料有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913602005787908032,景德镇市璟瞳汽车贸易有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200158261614C,昌河飞机工业(集团)有限责任公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200772371434G,景德镇嘉加陶瓷有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913602007363592353,景德镇市中景印机有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200754205862G,景德镇市中景制造有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206754227594,景德镇台达陶瓷原料有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
36020675421091X,景德镇市华通航空设备有限责任公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360206669779415,景德镇天诚机械有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913602006127225222,景德镇金诚电子实业有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
36022273919494X,江西省信航航空科技有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
360201744299981,江西昌河航空工业有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
91360200759991989P,景德镇市景磐城建混凝土有限公司,2018,国家税务总局景德镇高新技术产业开发区税务局税源管理科
913604247670144832,修水县江城建筑科技发展有限公司,2018,国家税务总局修水县税务局宁州税务分局
91360424581610439A,修水县茂源化工有限公司,2018,国家税务总局修水县税务局太阳升税务分局
913604240516229691,修水县海鑫汽车销售服务有限公司,2018,国家税务总局修水县税务局第二税务分局
360424054421820,修水县林业工程技术服务公司,2018,国家税务总局修水县税务局第二税务分局
913604243147710940,江西永莉鞋业有限公司,2018,国家税务总局修水县税务局渣津税务分局
360424586586669,修水县绿色乡里养蜂专业合作社,2018,国家税务总局修水县税务局渣津税务分局
913604240607708404,江西华湖石油化工有限公司修水县新塘加油站,2018,国家税务总局修水县税务局第二税务分局
91360424069729713N,江西佳旺农业科技发展有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424063468639G,九江路瑶贸易有限公司,2018,国家税务总局修水县税务局第二税务分局
91360400733895526W,美庐生物科技股份有限公司,2018,国家税务总局修水县税务局第二税务分局
360424563813339,修水县远程中央空调安装工程有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424550878168A,江西修水养蚕人实业有限公司,2018,国家税务总局修水县税务局第二税务分局
913604245560119951,江西祈福工艺品有限公司,2018,国家税务总局修水县税务局第二税务分局
9136042431474968X1,修水县盐津铺子农副产品初加工有限公司,2018,国家税务总局修水县税务局第二税务分局
913604245508814631,江西洪城水业环保有限公司修水分公司,2018,国家税务总局修水县税务局第二税务分局
913604241595851000,江西省江宁消防阻燃材料有限公司,2018,国家税务总局修水县税务局第二税务分局
360424746057425,修水县振华商贸有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424309232395C,江西酷骑实业有限公司,2018,国家税务总局修水县税务局渣津税务分局
91360424769799069C,修水县汽车运输有限公司,2018,国家税务总局修水县税务局第二税务分局
360424696094817,修水县德信混凝土有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424314655819F,九江市冠域商贸有限公司修水分公司,2018,国家税务总局修水县税务局第二税务分局
913604243226868421,江西同林胶业有限公司,2018,国家税务总局修水县税务局太阳升税务分局
913604243329160906,修水县走马岗加油站（普通合伙）,2018,国家税务总局修水县税务局第二税务分局
91360400754221862D,九江修水万景电力开发有限公司,2018,国家税务总局修水县税务局太阳升税务分局
360424327693718,九江市三品电子商务有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424333016377R,江西省振伦包装制品有限公司,2018,国家税务总局修水县税务局第二税务分局
913604247363721148,江西黄庆仁栈华氏大药房有限公司修水县总店,2018,国家税务总局修水县税务局第二税务分局
91360424159584140W,修水县水电建筑安装公司,2018,国家税务总局修水县税务局第二税务分局
360424343253456,江西华广商贸有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424705655074A,修水县民爆物品服务公司,2018,国家税务总局修水县税务局第二税务分局
360424586585180,修水县修河春蔬菜生产专业合作社,2018,国家税务总局修水县税务局宁州税务分局
91360424723934106P,修水县茶子岗电站,2018,国家税务总局修水县税务局宁州税务分局
91360424754240844J,修水县森焱贸易有限责任公司,2018,国家税务总局修水县税务局第二税务分局
91360424159581441B,修水县车联堰电站,2018,国家税务总局修水县税务局宁州税务分局
360424723943635,江西省宁红有限责任公司,2018,国家税务总局修水县税务局第二税务分局
913604247485476044,修水县久隆商贸有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424083947856Y,修水县康彩贸易有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424763388795C,江西久鑫医药有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424763398985E,修水县正泰电器销售有限公司,2018,国家税务总局修水县税务局第二税务分局
360424322496096,修水县铃驰汽车销售有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424581605242N,江西欧克科技有限公司,2018,国家税务总局修水县税务局第二税务分局
913604247239003287,修水县山口电站,2018,国家税务总局修水县税务局宁州税务分局
91360424593754210X,江西天德机械制造有限公司,2018,国家税务总局修水县税务局第二税务分局
9136042478147147XK,修水县布甲口水电站,2018,国家税务总局修水县税务局杭口税务分局
91360424063497931Q,九江市英利电气设备有限公司,2018,国家税务总局修水县税务局第二税务分局
9136042474429016XY,修水县塘港发电有限责任公司,2018,国家税务总局修水县税务局杭口税务分局
913604247788231124,江西省修水神茶实业有限公司,2018,国家税务总局修水县税务局第二税务分局
360424775853981,修水县三才磊玉石艺精品有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424667477077R,修水县珠江大酒店有限责任公司,2018,国家税务总局修水县税务局第二税务分局
91360424314693460J,江西江洋给水设备制造有限公司,2018,国家税务总局修水县税务局渣津税务分局
360424772385326,修水县坑口水电有限责任公司,2018,国家税务总局修水县税务局宁州税务分局
91360424778806371Q,江西汇弘塑业有限公司,2018,国家税务总局修水县税务局第二税务分局
91360424581608590C,修水县谊林家电销售有限公司,2018,国家税务总局修水县税务局第二税务分局
91360402775862917A,九江市卉春园林有限责任公司,2018,国家税务总局修水县税务局宁州税务分局
91360424598860338T,九江一扬贸易有限公司,2018,国家税务总局修水县税务局第二税务分局
360424598891177,九江市贝佛丽贸易有限公司,2018,国家税务总局修水县税务局第二税务分局
